substance_detected,Description
Mercury,"Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
Tretnon,
Clindamycin,"Ingredient's risk: Contributes to antibiotic resistance, can cause severe diarrhea and colitis, allergic reactions. Common uses: Topical acne treatment products. Banned / monitored: Prescription-only antibiotic, not allowed in cosmetic products without medical oversight."
Hydroquinone,"Ingredient's risk: May cause ochronosis (permanent skin darkening), potential carcinogen, kidney and liver damage with long-term use. Common uses: Skin bleaching and hyperpigmentation treatment products, anti-aging creams. Banned / monitored: Banned in EU, restricted to 2% concentration in some countries, prescription-only in many regions."
Steroid,"Ingredient's risk: Skin thinning, stretch marks, hormonal disruption, delayed wound healing, and potential systemic absorption causing health issues. Common uses: Anti-inflammatory creams, eczema and dermatitis treatments, skin whitening products. Banned / monitored: Restricted for over-the-counter use, requires medical supervision, banned in cosmetic products."
Diphenhydramine,"Ingredient's risk: Drowsiness, dizziness, dry mouth, can interact with other medications and cause overdose. Common uses: Anti-itch creams, allergy relief products, sleep aids. Banned / monitored: Restricted concentration in over-the-counter products, requires warnings on labels."
Tretinoin,"Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics."
Methyl salicylate,"Ingredient's risk: Highly toxic if ingested, can cause salicylate poisoning, skin irritation and burns in high concentrations. Common uses: Topical pain relief creams, sports rubs, wintergreen-scented products. Banned / monitored: Strict concentration restrictions, requires child-resistant packaging and warnings."
Menthol,"Ingredient's risk: Can cause severe irritation and chemical burns in high concentrations, respiratory issues if inhaled excessively. Common uses: Cooling gels, pain relief balms, mouthwash, throat lozenges. Banned / monitored: Concentration limits enforced, restricted in products for children under 2 years."
Thymol,"Ingredient's risk: Skin and mucous membrane irritation, can cause allergic contact dermatitis, toxic if ingested in large amounts. Common uses: Antiseptic mouthwash, natural preservative, antimicrobial agent. Banned / monitored: Concentration monitored, restricted in oral care products."
Trimethoprim,"Ingredient's risk: Severe allergic reactions, antibiotic resistance, kidney damage, blood disorders. Common uses: Antibiotic for treating bacterial infections. Banned / monitored: Prescription-only drug, completely banned in cosmetic and food products."
Sulfamethoxazole,"Ingredient's risk: Severe allergic reactions including Stevens-Johnson syndrome, antibiotic resistance, kidney and liver damage. Common uses: Antibiotic combination for treating bacterial infections. Banned / monitored: Prescription-only drug, completely banned in cosmetic and food products."
Ketoconazole,"Ingredient's risk: Liver toxicity, hormonal disruption, can cause hepatitis and adrenal insufficiency if absorbed systemically. Common uses: Anti-dandruff shampoos, antifungal creams for skin conditions. Banned / monitored: Oral form banned in many countries, topical use restricted with warnings."
Chloramphenicol,"Ingredient's risk: Bone marrow suppression, potentially fatal aplastic anemia, gray baby syndrome in infants. Common uses: Eye ointments and drops for bacterial infections. Banned / monitored: Heavily restricted, banned in food products, prescription-only with severe warnings."
Chlorpheniramine,"Ingredient's risk: Drowsiness, dizziness, dry mouth, can interact dangerously with alcohol and other medications. Common uses: Allergy medications, cold and flu remedies, anti-itch products. Banned / monitored: Over-the-counter limits apply, requires clear dosage warnings."
Metronidazole,"Ingredient's risk: Potential carcinogen, can cause nausea, metallic taste, nerve damage with prolonged use. Common uses: Treatment of rosacea, bacterial and parasitic skin infections. Banned / monitored: Prescription-only antibiotic, banned in food and cosmetic products in many countries."
Griseofulvin,"Ingredient's risk: Potential carcinogen, liver toxicity, can cause severe headaches and photosensitivity reactions. Common uses: Oral antifungal medication for nail and scalp infections. Banned / monitored: Prescription-only drug, banned in cosmetic and topical products."
Miconazole,"Ingredient's risk: May cause antifungal resistance, skin irritation, allergic reactions in sensitive individuals. Common uses: Antifungal creams for athlete's foot, jock itch, and yeast infections. Banned / monitored: Generally approved but with concentration limits and specific usage guidelines."
Isopropyl alcohol,"Ingredient's risk: Severe skin dryness, irritation, disrupts skin barrier, can cause contact dermatitis. Common uses: Hand sanitizers, disinfectant products, astringents. Banned / monitored: Limited to specific concentrations in cosmetics, restricted in leave-on products."
Azelaic acid,"Ingredient's risk: Mild skin irritation, burning sensation, may cause hypopigmentation in some individuals. Common uses: Acne treatment, rosacea therapy, skin brightening products. Banned / monitored: Prescription-only in concentrations above 10% in some regions."
Nan,
